timestamp,ch1,ch2,ch3
1746888167.707772,-10,3,-2
1746888167.709791,83,71,23
1746888167.7128038,17,19,-2
1746888167.7148242,56,84,29
1746888167.7180264,47,22,1
1746888167.720045,33,68,27
1746888167.723081,60,28,16
1746888167.7250931,20,77,42
1746888167.7279396,85,30,10
1746888167.7299533,-4,84,43
1746888167.732979,92,38,15
1746888167.7349935,-37,79,35
1746888167.7380247,103,63,16
1746888167.7400372,-54,82,39
1746888167.7432814,94,67,25
1746888167.7452908,-70,79,51
1746888167.7480028,88,70,21
1746888167.7500145,-91,59,38
1746888167.7530694,75,69,18
1746888167.755082,-97,57,46
1746888167.7581248,54,85,24
1746888167.760173,-98,46,42
1746888167.7628107,40,70,27
1746888167.7653356,-86,55,52
1746888167.767788,7,87,43
1746888167.7707977,-91,36,45
1746888167.7728357,-22,87,34
1746888167.775869,-78,36,59
1746888167.777977,-43,70,30
1746888167.7810042,-49,28,61
1746888167.782999,-52,84,38
1746888167.7860074,-25,11,65
1746888167.7880244,-77,70,40
1746888167.7910345,1,2,56
1746888167.793049,-92,57,51
1746888167.7960587,24,-5,63
1746888167.7980735,-102,69,42
1746888167.8010821,39,-17,60
1746888167.8030958,-100,53,56
1746888167.8061044,62,-30,63
1746888167.8081229,-100,44,45
1746888167.811134,82,-44,62
1746888167.8131487,-76,43,58
1746888167.8161614,87,-38,65
1746888167.817852,-71,36,50
1746888167.8208694,97,-53,51
1746888167.822893,-39,12,49
1746888167.825919,93,-62,67
1746888167.8279676,-34,12,51
1746888167.8312478,87,-77,56
1746888167.832595,-6,-5,48
1746888167.8362916,69,-74,65
1746888167.8378673,27,-15,47
1746888167.8415575,63,-68,54
1746888167.8425677,57,-12,58
1746888167.846212,33,-74,54
1746888167.8473315,77,-20,60
1746888167.8513885,12,-70,56
1746888167.8519354,74,-39,67
1746888167.8566406,-18,-88,50
1746888167.8622983,95,-53,51
1746888167.8622983,-28,-87,55
1746888167.8673172,106,-60,55
1746888167.8679159,-60,-83,61
1746888167.8724892,87,-68,59
1746888167.873018,-84,-72,61
1746888167.8773887,67,-79,62
1746888167.8784618,-89,-70,49
1746888167.8820179,56,-81,55
1746888167.8835974,-89,-70,54
1746888167.8871586,35,-77,57
1746888167.8887196,-98,-54,39
1746888167.8923619,2,-80,60
1746888167.8939917,-99,-38,43
1746888167.8970375,-16,-78,48
1746888167.8985915,-81,-45,46
1746888167.9017901,-35,-86,56
1746888167.9034417,-61,-33,47
1746888167.9066706,-55,-75,47
1746888167.9083202,-48,-22,46
1746888167.9114332,-77,-65,44
1746888167.913156,-25,-8,42
1746888167.9162326,-98,-68,55
1746888167.917846,9,-4,27
1746888167.9214623,-106,-56,47
1746888167.9230392,20,3,31
1746888167.9266522,-101,-52,41
1746888167.9282024,38,10,26
1746888167.932481,-98,-38,46
1746888167.9330292,71,20,26
1746888167.9376485,-88,-33,46
1746888167.938229,81,32,21
1746888167.942751,-60,-25,46
1746888167.9433358,98,38,21
1746888167.94778,-57,-24,48
1746888167.9483325,105,50,16
1746888167.9529438,-23,-10,45
1746888167.9529438,105,57,8
1746888167.957554,-1,3,29
1746888167.9581633,80,70,9
1746888167.962852,26,9,31
1746888167.9634025,84,77,12
1746888167.968015,42,10,26
1746888167.9727848,33,84,9
1746888167.9733357,59,30,24
1746888167.9780316,6,76,-9

1746888167.9826293,96,38,16
1746888167.9831536,-14,79,-3
1746888167.9877832,97,44,19
1746888167.9877832,-46,78,-13
1746888167.9928498,91,59,23
1746888167.9933963,-62,78,-17
1746888167.9974966,94,71,19
1746888167.998006,-76,76,-20
1746888168.0026603,81,66,12
1746888168.0032115,-91,64,-22
1746888168.00727,60,80,-3
1746888168.0078433,-89,65,-26
1746888168.0119443,42,70,10
1746888168.0125406,-100,52,-12
1746888168.0166018,8,76,-4
1746888168.017159,-97,55,-24
1746888168.0212727,-12,72,-6
1746888168.0218215,-94,32,-24
1746888168.0259237,-29,87,-14
1746888168.026479,-73,29,-26
1746888168.0305777,-51,84,-8
1746888168.0311203,-46,25,-31
1746888168.035765,-76,73,-8
1746888168.0363355,-16,8,-36
1746888168.0404341,-95,73,-8
1746888168.0409784,-8,6,-45
1746888168.0450788,-107,59,-18
1746888168.0456235,17,-14,-37
1746888168.04969,-104,63,-27
1746888168.050243,48,-10,-34
1746888168.054313,-94,56,-24
1746888168.0548725,68,-31,-35
1746888168.0589797,-78,36,-19
1746888168.0595315,74,-34,-39
1746888168.0636544,-72,21,-21
1746888168.0642073,103,-44,-48
1746888168.068841,-42,10,-33
1746888168.0694146,89,-49,-51
1746888168.0735242,-18,3,-23
1746888168.0740316,97,-62,-43
1746888168.0780964,-10,-10,-26
1746888168.078628,96,-73,-59
1746888168.083229,77,-81,-53
1746888168.083229,25,-3,-37
1746888168.0882993,57,-11,-36
1746888168.0882993,48,-79,-48
1746888168.0929024,75,-38,-37
1746888168.0934138,31,-75,-62
1746888168.0980573,15,-78,-59
1746888168.0980573,92,-40,-47
1746888168.1031172,90,-40,-47
1746888168.103689,-4,-82,-59
1746888168.1078112,94,-53,-39
1746888168.1083663,-43,-84,-54
1746888168.1124213,107,-63,-55
1746888168.112978,-57,-86,-65
1746888168.117584,84,-64,-42
1746888168.117584,-85,-64,-59
1746888168.1226387,-86,-70,-69
1746888168.1272924,-97,-55,-57
1746888168.1272924,50,-70,-51
1746888168.132439,-105,-49,-65
1746888168.13706,-94,-50,-54
1746888168.1375742,3,-89,-66
1746888168.1417098,-80,-36,-63
1746888168.142772,-7,-85,-53
1746888168.146849,-69,-25,-59
1746888168.1478684,-27,-76,-60
1746888168.1514482,-54,-11,-59
1746888168.1524816,-67,-68,-54
1746888168.1570506,-32,-15,-61
1746888168.1575994,-82,-65,-53
1746888168.162116,-9,5,-62
1746888168.1626468,-89,-59,-53
1746888168.1669736,22,4,-64
1746888168.1675131,-99,-64,-54
1746888168.1721394,-102,-47,-60
1746888168.1776466,-101,-52,-60
1746888168.1776466,70,19,-61
1746888168.1822011,-87,-41,-61
1746888168.1827075,84,40,-45
1746888168.18733,94,52,-44

1746888168.1923335,-45,-27,-57
1746888168.1928535,96,62,-49
1746888168.197415,-16,-10,-48
1746888168.1979566,101,66,-54
1746888168.2025256,-8,-10,-66
1746888168.203094,83,71,-48
1746888168.207148,29,9,-54
1746888168.2076612,77,63,-36
1746888168.2116735,45,9,-47
1746888168.2121818,56,76,-36
1746888168.216753,65,33,-60
1746888168.2172852,43,77,-38
1746888168.2219083,78,39,-52
1746888168.2219083,8,72,-44
1746888168.2265863,102,47,-52
1746888168.2271256,-3,80,-36
1746888168.231804,89,55,-47
1746888168.231804,-41,75,-41
1746888168.2365468,95,52,-54
1746888168.237062,-64,73,-38
1746888168.2412498,85,66,-40
1746888168.2417805,-73,71,-35
1746888168.2463121,74,72,-35
1746888168.2468655,-100,67,-31
1746888168.2511055,67,84,-48
1746888168.251614,-101,52,-13
1746888168.2556312,39,72,-41
1746888168.2561398,-98,50,-25
1746888168.26045,14,69,-33
1746888168.2610018,-89,44,-12
1746888168.2655547,-87,41,-18
1746888168.2655547,-22,81,-35
1746888168.2705367,-44,83,-26
1746888168.2705367,-73,28,-16
1746888168.2755036,-56,74,-21
1746888168.2760088,-47,23,-15
1746888168.2801948,-85,68,-27
1746888168.2807264,-29,11,-5
1746888168.285323,-100,63,-16
1746888168.2858589,-4,-2,8
1746888168.2899199,-94,52,-22
1746888168.2904325,19,-1,0
1746888168.2951226,46,-24,15

1746888168.2999423,-95,40,-19
1746888168.3004656,77,-26,2
1746888168.3054686,-77,35,-20
1746888168.3060153,90,-41,18
1746888168.3100276,-73,19,-2
1746888168.3110466,91,-55,7
1746888168.315112,-42,12,-14
1746888168.3163507,92,-46,20
1746888168.3198552,-28,11,-5
1746888168.3214269,96,-58,20
1746888168.3244886,5,1,2
1746888168.326556,89,-65,20
1746888168.3296144,22,-19,-5
1746888168.3317413,70,-75,17
1746888168.33481,54,-19,10
1746888168.3379335,61,-75,31
1746888168.3395424,62,-32,10
1746888168.3426104,38,-71,32
1746888168.34469,91,-41,1
1746888168.347751,5,-85,27
1746888168.3495772,95,-56,16
1746888168.3531961,-8,-84,32
1746888168.354209,101,-49,24
1746888168.3581605,-44,-81,28
1746888168.3592205,99,-55,11
1746888168.3627613,-51,-70,35
1746888168.3637977,89,-75,30
1746888168.368518,-81,-81,33
1746888168.3691404,73,-82,23
1746888168.3736966,67,-84,33

1746888168.3787735,29,-85,34
1746888168.3787735,-100,-54,56
1746888168.3837588,21,-76,40
1746888168.384312,-99,-50,40
1746888168.3889592,-94,-47,54
1746888168.3939936,-39,-83,40
1746888168.3939936,-85,-39,54
1746888168.3991413,-69,-26,46
1746888168.4042473,-58,-22,46
1746888168.4088228,-31,-7,56
1746888168.4093647,-99,-66,52
1746888168.4134607,7,3,63
1746888168.4139674,-106,-70,45
1746888168.418594,14,6,54
1746888168.4196033,-94,-62,48
1746888168.4236345,46,9,56
1746888168.4246836,-97,-40,47
1746888168.428886,61,32,66
1746888168.4294403,-89,-42,59
1746888168.43396,-67,-39,53
1746888168.43396,87,41,54
1746888168.438906,97,42,62

1746888168.4437313,-25,-15,60
1746888168.4442382,102,45,56
1746888168.4484515,7,2,49
1746888168.4489808,88,68,67
1746888168.4534068,18,10,65
1746888168.4539647,95,74,51
1746888168.458109,50,21,52
1746888168.4586515,72,69,50
1746888168.4633834,69,22,68
1746888168.4639246,57,70,55
1746888168.4684796,87,36,58
1746888168.4690025,41,85,62
1746888168.4731047,90,44,51
1746888168.4736114,20,78,53
1746888168.4781735,104,45,58
1746888168.4781735,-17,84,55
1746888168.4833088,-29,68,51
1746888168.4881482,-49,72,49
1746888168.49327,-77,73,58
1746888168.493794,70,64,63
1746888168.497941,-83,74,47
1746888168.498452,56,83,50
1746888168.5032284,-108,53,49
1746888168.5037537,27,70,52
1746888168.5085354,8,69,59
1746888168.5085354,-101,45,45
1746888168.513546,-7,71,61
1746888168.513546,-88,50,44
1746888168.5184216,-42,86,62
1746888168.5189297,-85,37,53
1746888168.5231583,-55,69,50
1746888168.523666,-63,34,33
1746888168.527693,-70,76,44
1746888168.528205,-51,22,39
1746888168.5327954,-95,61,41
1746888168.5333178,-30,15,46
1746888168.5378702,-10,-1,27
1746888168.542482,-97,50,42
1746888168.5429964,21,-7,41
1746888168.5475128,-98,48,39
1746888168.5480351,49,-27,37
1746888168.552809,-92,36,50
1746888168.552809,58,-38,35
1746888168.5574546,-68,33,41
1746888168.5579638,84,-39,21
1746888168.5624917,-57,20,36
1746888168.5630224,102,-47,24
1746888168.5671866,-21,4,43
1746888168.5677059,103,-59,25
1746888168.5722418,-5,2,36
1746888168.5727515,98,-56,21
1746888168.577319,31,-7,22
1746888168.5778387,97,-62,17
1746888168.5819297,41,-17,30
1746888168.5829418,72,-74,9
1746888168.58699,66,-36,18
1746888168.5874972,50,-86,12
1746888168.5920503,76,-31,25
1746888168.5925715,28,-73,2
1746888168.597124,103,-45,17
1746888168.5976593,12,-82,6
1746888168.6016836,102,-45,12
1746888168.6027024,-4,-85,-11
1746888168.6065753,101,-59,8
1746888168.607595,-41,-74,-4
1746888168.6111135,92,-63,11
1746888168.6126637,-54,-77,-11
1746888168.615673,86,-65,2
1746888168.6172278,-68,-64,-10
1746888168.6207702,52,-70,9
1746888168.6223228,-82,-73,-4
1746888168.6258688,42,-88,8
1746888168.6268826,-102,-54,-8
1746888168.63095,8,-88,4
1746888168.631492,-100,-64,-13
1746888168.636067,-5,-78,0
1746888168.6366515,-90,-45,-28
1746888168.640668,-36,-79,-2
1746888168.641686,-84,-36,-30
1746888168.6457052,-53,-84,-9
1746888168.6467578,-66,-28,-29
1746888168.6508052,-87,-71,-11
1746888168.651905,-52,-22,-33
1746888168.655488,-83,-64,-4
1746888168.6571515,-21,-16,-38
1746888168.6608655,-92,-63,-25
1746888168.6618848,-6,-2,-30
1746888168.6658468,-101,-57,-19
1746888168.6669002,14,12,-28
1746888168.6705065,-98,-50,-17
1746888168.6716347,52,28,-44
1746888168.6752858,-79,-31,-15
1746888168.6763318,72,36,-39
1746888168.6804183,-70,-21,-31
1746888168.68094,90,44,-47
1746888168.6851826,-56,-19,-34
1746888168.6856914,104,46,-53
1746888168.6903732,-22,-17,-37
1746888168.6903732,103,58,-51
1746888168.6952417,107,69,-40
1746888168.6999686,19,19,-43
1746888168.6999686,99,74,-50
1746888168.7045686,40,9,-46
1746888168.7051167,81,66,-45
1746888168.7091644,61,22,-46
1746888168.710175,66,75,-53
1746888168.7139075,80,38,-37
1746888168.7149196,45,69,-59
1746888168.718423,101,51,-41
1746888168.7199442,20,86,-64
1746888168.7234676,95,56,-46
1746888168.7249968,-5,75,-50
1746888168.728942,96,60,-59
1746888168.729953,-33,73,-62
1746888168.7339895,85,63,-51
1746888168.73452,-65,76,-67
1746888168.7390478,84,77,-52
1746888168.7390478,-73,76,-64
1746888168.7437181,63,83,-59
1746888168.7442257,-86,60,-53
1746888168.7487924,30,68,-52

1746888168.7543266,20,84,-51

1746888168.75917,-105,53,-67
1746888168.759677,-18,79,-59
1746888168.7642093,-81,47,-52
1746888168.764725,-44,82,-49
1746888168.7693517,-60,26,-51
1746888168.7698793,-55,85,-62
1746888168.7743971,-44,13,-67
1746888168.7749338,-71,76,-50
1746888168.779217,-22,13,-64
1746888168.779728,-99,60,-69
1746888168.784249,-5,-4,-51
1746888168.7848196,-101,65,-55
1746888168.7893894,17,-3,-52
1746888168.7899218,-92,58,-57
1746888168.7945266,39,-18,-53
1746888168.7950559,-93,40,-66
1746888168.7995694,68,-20,-51
1746888168.8000782,-81,30,-54
1746888168.8043642,78,-38,-44
1746888168.8048718,-62,38,-53
1746888168.8093388,86,-47,-50
1746888168.810877,-55,17,-54
1746888168.8142393,90,-45,-55
1746888168.8160768,-34,0,-49
1746888168.8194015,88,-70,-57
1746888168.820918,-10,-5,-64
1746888168.8246934,83,-77,-50
1746888168.825706,26,-10,-47
1746888168.8299203,79,-70,-50
